idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,2,0,4,23.29,0,23.29,0,1,20
2,2,0,2,12.05,0,12.05,0,1,20
3,2,0,3,20.59,0,20.59,0,1,20
4,3,0,4,19.73,0,19.73,0,1,20
5,3,0,2,15.63,0,15.63,0,1,20
6,3,0,0,8.82,0,8.82,0,0,20
7,3,0,1,12.87,0,12.87,0,0,20
8,2,0,0,7.25,0,7.25,0,1,20
9,2,0,1,10.45,0,10.45,0,1,20
10,3,0,3,18.73,0,18.73,0,1,20
11,1,0,0,7.76,0,7.76,1,0,20
12,1,0,1,9.27,0,9.27,2,0,20
13,4,0,0,6.14,0,6.14,3,0,20
14,4,0,1,7.65,0,7.65,4,0,20
15,1,0,2,13.67,0,13.67,5,0,20
16,1,0,3,21.25,0,21.25,6,0,20
17,1,0,4,23.95,0,23.95,7,0,20
18,4,0,2,9.67,0,9.67,8,0,20
19,4,0,3,11.65,0,11.65,9,0,20
20,5,0,0,10.15,0,10.15,10,0,20
